"speciesName","FirstYrConverged","LastYrConverged","PropYrConverged","mean_means","median_means","mean_medians","median_medians"
"FORMICA aquilonia",FALSE,FALSE,0,0.0287907215344702,0.0278662778628186,0.0231957638725323,0.022140221402214
"FORMICA cunicularia",TRUE,TRUE,1,0.178260763669222,0.19084012999022,0.17630176301763,0.189831898318983
"FORMICA exsecta",TRUE,TRUE,1,0.00562675407094841,0.0050360950587157,0.00483281428558966,0.004510045100451
"FORMICA fusca",TRUE,TRUE,1,0.420225681640294,0.414878579564257,0.418160564584369,0.414514145141451
"FORMICA lemani",TRUE,TRUE,1,0.12572394244559,0.111931324302994,0.124597628955013,0.111521115211152
"FORMICA lugubris",TRUE,TRUE,1,0.026551388489651,0.0230284098751192,0.0261530274877217,0.022550225502255
"FORMICA picea",TRUE,TRUE,1,0.00343648603163868,0.00239801458061578,0.00301832805562098,0.002050020500205
"FORMICA pratensis",FALSE,FALSE,0,0.622399983609728,0.625561444355006,0.759249081852521,0.788027880278803
"FORMICA rufa",TRUE,TRUE,1,0.145103773049289,0.147371126728616,0.144705276840002,0.147191471914719
"FORMICA rufibarbis",TRUE,TRUE,1,0.00205800340429709,0.00198471011258785,0.00177959226400775,0.001640016400164
"FORMICA sanguinea",TRUE,TRUE,1,0.0960731442286504,0.0930821437607906,0.0946498826690395,0.0914309143091431
"FORMICOXENUS nitidulus",TRUE,TRUE,1,0.0153582879421189,0.0129037008584175,0.0133905594375093,0.011070110701107
"Hypoponera punctatissima agg",FALSE,FALSE,0,0.359680147420752,0.366733159856972,0.229619743005941,0.234112341123411
"LASIUS alienus s.l.",TRUE,TRUE,1,0.131391057221279,0.0836848071495564,0.1248767806827,0.0729807298072981
"LASIUS alienus s.s.",TRUE,TRUE,1,0.0579492136242594,0.0553902194189184,0.0545828862543945,0.05330053300533
"LASIUS brunneus",TRUE,TRUE,1,0.080762076365837,0.0623080982072258,0.0785550408695576,0.060680606806068
"LASIUS emarginatus",FALSE,FALSE,0,0.35854292007949,0.354503738527711,0.0998229131227483,0.0906109061090611
"LASIUS flavus",TRUE,TRUE,1,0.571816914811444,0.579432528988557,0.57172890877845,0.579745797457975
"LASIUS fuliginosus",TRUE,TRUE,1,0.193978224723319,0.184923595148656,0.189814451336003,0.178351783517835
"LASIUS meridionalis",TRUE,TRUE,0.936170212765957,0.065085375532415,0.0607009624918508,0.0577669606483299,0.05330053300533
"LASIUS mixtus",FALSE,FALSE,0,0.255889030939047,0.295517880932522,0.20610120994827,0.214022140221402
"LASIUS neglectus",FALSE,FALSE,0,0.320834869861368,0.281025678113388,0.282614953809113,0.276342763427634
"LASIUS niger s.l.",TRUE,TRUE,1,0.502134726383289,0.587531591030125,0.501365226418222,0.587125871258713
"LASIUS niger s.s.",TRUE,TRUE,1,0.244019934601222,0.100038499510039,0.241239433670932,0.0893808938089381
"LASIUS platythorax",TRUE,TRUE,1,0.106940026058811,0.0323800743132175,0.102972093550723,0.029110291102911
"LASIUS psammophilus",TRUE,TRUE,1,0.111301614352779,0.100927630945226,0.103556567480568,0.0914309143091431
"LASIUS sabularum",FALSE,FALSE,0,0.29115716058256,0.30024091251362,0.285275618713634,0.291512915129151
"LASIUS umbratus",TRUE,TRUE,0.595744680851064,0.366686364154309,0.329527496564901,0.344700042745108,0.29520295202952
"LEPTOTHORAX acervorum",TRUE,TRUE,1,0.407153084112127,0.416896990328835,0.403007859865833,0.412054120541205
"LINEPITHEMA humile",FALSE,FALSE,0,0.592809883028743,0.614056300055026,0.743808501914806,0.788847888478885
"MONOMORIUM pharaonis",FALSE,FALSE,0,0.659450847125628,0.660624000370297,0.677797841808205,0.685116851168512
"MYRMECINA graminicola",TRUE,TRUE,1,0.0822077321892631,0.0730159678977921,0.0779967374141827,0.0709307093070931
"MYRMICA hirsuta",FALSE,FALSE,0,0.4624655828526,0.471756485976439,0.348520932017831,0.337023370233702
"MYRMICA karavajevi",FALSE,TRUE,0.127659574468085,0.0532706042024672,0.0389148029273403,0.0145944012631616,0.00492004920049201
"MYRMICA lobicornis",TRUE,TRUE,1,0.0589047890081048,0.0555497440380134,0.0515645581987735,0.046740467404674
"MYRMICA lonae",FALSE,FALSE,0,0.348752789520242,0.34920822634555,0.148735529908491,0.148011480114801
"MYRMICA rubra",TRUE,TRUE,1,0.321085877959467,0.284351813569633,0.319724686608568,0.283722837228372
"MYRMICA ruginodis",TRUE,TRUE,1,0.688839662332395,0.688231271093272,0.690760950162693,0.689626896268963
"MYRMICA sabuleti",TRUE,TRUE,1,0.341555990601367,0.34711298465417,0.338017848263589,0.346043460434604
"MYRMICA scabrinodis",TRUE,TRUE,1,0.612235119316239,0.612894734517067,0.612554848952745,0.614186141861419
"MYRMICA schencki",TRUE,TRUE,1,0.0739802571777669,0.0600409503920048,0.0678774872855112,0.052480524805248
"MYRMICA specioides",TRUE,TRUE,1,0.0448526961698987,0.0443150044219806,0.0431463889106976,0.042230422304223
"MYRMICA sulcinodis",TRUE,TRUE,1,0.0360963261756394,0.0333153494026816,0.032538623258573,0.030750307503075
"MYRMICA vandeli",FALSE,FALSE,0,0.350856529648285,0.360277107095855,0.311280346846022,0.324313243132431
"PARATRECHINA longicornis",FALSE,FALSE,0,0.269960591456003,0.313724658170536,0.118203309692671,0.128331283312833
"PONERA coarctata",TRUE,TRUE,1,0.0665490444651129,0.0581708511950376,0.0586742037633142,0.052480524805248
"PONERA testacea",FALSE,FALSE,0,0.190622329255332,0.0801742405704643,0.147121683982797,0.001230012300123
"SOLENOPSIS fugax",FALSE,FALSE,0,0.838034646033176,0.855543036706303,0.905428628754373,0.920049200492005
"STENAMMA debile",TRUE,TRUE,1,0.0759411236908953,0.0764146294530292,0.071523906728429,0.0713407134071341
"STENAMMA westwoodii s.l.",TRUE,TRUE,1,0.12785166617813,0.05381957224402,0.113832840456064,0.043460434604346
"STENAMMA westwoodii s.s.",FALSE,FALSE,0,0.710049048244159,0.736694735578924,0.839007964547731,0.870438704387044
"STRONGYLOGNATHUS testaceus",FALSE,FALSE,0,0.659861206690174,0.661442266140076,0.783160172027252,0.794587945879459
"TAPINOMA erraticum s.l.",TRUE,TRUE,1,0.00781332353479506,0.00757754240209269,0.00654261861767554,0.006560065600656
"TEMNOTHORAX albipennis",TRUE,TRUE,1,0.0209220528304755,0.0186098116168402,0.0190869993806321,0.017630176301763
"TEMNOTHORAX interruptus",TRUE,TRUE,1,0.00870902299449856,0.00931107606161307,0.00759816108799386,0.00820008200082001
"TEMNOTHORAX nylanderi",TRUE,TRUE,1,0.0907844133497093,0.0869461856960452,0.0858566032468835,0.0787207872078721
"TEMNOTHORAX unifasciatus",FALSE,FALSE,0,0.465210144358746,0.432875178709289,0.444095504784835,0.439524395243952
"Tetramorium atratulum",FALSE,FALSE,0,0.286272656960262,0.287062543141806,0.236999816806679,0.242312423124231
"TETRAMORIUM bicarinatum",FALSE,FALSE,0,0.454673266179668,0.473178227107505,0.326834332173109,0.271012710127101
"TETRAMORIUM caespitum",TRUE,TRUE,1,0.126899497147394,0.134724793075639,0.124440606108189,0.132431324313243
"Aepophilus bonnairei",FALSE,FALSE,0,0.493666215671717,0.49703352658995,0.503843200931899,0.498133554541684
"Aphelocheirus aestivalis",TRUE,TRUE,1,0.0218828010389591,0.0213760153966586,0.0213913181605584,0.0211530485275819
"Aquarius najas",TRUE,TRUE,1,0.00969236596899207,0.0072909875866638,0.00856005718471191,0.0062214848610535
"Aquarius paludum",TRUE,TRUE,1,0.0125475472125067,0.00588730414163655,0.0110045271230266,0.0049771878888428
"Arctocorisa carinata",TRUE,TRUE,1,0.00415776620207351,0.00281387838530098,0.003379898867778,0.00207382828701784
"Arctocorisa germari",TRUE,TRUE,1,0.0815678388843691,0.0539425538055325,0.0748519639595118,0.0493571132310245
"Callicorixa praeusta",TRUE,TRUE,0.787234042553192,0.531450176787383,0.52658974268209,0.530299954993514,0.525093322272916
"Callicorixa wollastoni",TRUE,TRUE,1,0.0166896003179403,0.0164860276272789,0.0156110733605726,0.0149315636665284
"Ceratocombus coleoptratus",FALSE,FALSE,0,0.598672500255164,0.594550467416488,0.666563710652418,0.669017005391954
"Chartoscirta cincta",TRUE,TRUE,1,0.0869814527046797,0.0739480860880224,0.0747372415436342,0.0547490667772708
"Chartoscirta cocksii",TRUE,FALSE,0.531914893617021,0.0771133297514109,0.0714894159895904,0.068171589434948,0.0667772708419743
"Chartoscirta elegantula",FALSE,FALSE,0,0.743919416452733,0.738956747724621,0.861688890457742,0.863542098714226
"Chiloxanthus pilosus",FALSE,FALSE,0,0.447706815926445,0.434680588658249,0.396454194869261,0.406470344255496
"Corixa affinis",TRUE,TRUE,1,0.0505216313705349,0.0517573042957143,0.045438901488744,0.0472832849440066
"Corixa dentipes",TRUE,TRUE,1,0.106227558800409,0.103158135332553,0.0997379034037258,0.0991289921194525
"Corixa iberica",FALSE,FALSE,0,0.121747233852247,0.117024115612967,0.10798909254569,0.109498133554542
"Corixa panzeri",TRUE,TRUE,1,0.38075240355811,0.394487409598827,0.373342040470538,0.387391124014932
