species,mean_growth_rate,precision_growth_rate,mean_year_precision
FORMICA aquilonia,0.437318077,0.150060848,2886.880589
FORMICA cunicularia,-2.075829277,0.991712707,1637.989162
FORMICA fusca,2.181283943,0.51955151,405.1207183
FORMICA lemani,-0.867717321,2.280987998,5361.669494
FORMICA lugubris,0.903905825,0.970002887,35052.70793
FORMICA picea,3.536781141,0.11729433,448324.1902
FORMICA rufa,-0.860728345,3.055228605,5115.351227
FORMICA sanguinea,-0.39883925,1.179723965,3483.300647
FORMICOXENUS nitidulus,2.51165603,0.061607081,18189.38184
LASIUS brunneus,4.458836363,0.210363182,3596.508833
LASIUS flavus,0.250566381,5.310141149,420.2739849
LASIUS fuliginosus,0.900251381,0.829662354,608.9567952
LASIUS meridionalis,1.464522004,0.152620866,819.1713448
LASIUS mixtus,-2.304394978,0.314308366,74.87026109
LASIUS umbratus,-0.203794345,0.887971696,38.46493894
LEPTOTHORAX acervorum,0.112120457,1.431733393,238.6525235
MYRMECINA graminicola,-1.885721648,0.40623855,1940.12178
MYRMICA lobicornis,2.572805756,0.173192297,1887.215505
MYRMICA rubra,-0.8814294,2.901123919,767.5612733
MYRMICA ruginodis,0.477080372,6.061915518,442.4105631
MYRMICA sabuleti,1.519965455,0.667862577,294.1004323
MYRMICA scabrinodis,1.180286878,1.406973935,257.2559328
MYRMICA schencki,3.004229734,0.078093789,2114.490691
MYRMICA specioides,-0.311902102,0.348199896,6731.285228
MYRMICA sulcinodis,-3.071403217,0.204213609,7651.182485
PONERA coarctata,-0.087265546,0.09258037,827.5425163
TEMNOTHORAX albipennis,0.934831426,0.108993989,11866.36316
TEMNOTHORAX nylanderi,1.509857944,0.345429875,1114.564931
TETRAMORIUM caespitum,1.237543719,0.576888442,1144.874044
FORMICA aquilonia,0.437318077,0.150060848,2886.880589
FORMICA cunicularia,-2.075829277,0.991712707,1637.989162
FORMICA exsecta,0.647645894,0.10900667,114073.37
FORMICA fusca,2.181283943,0.51955151,405.1207183
FORMICA lemani,-0.867717321,2.280987998,5361.669494
FORMICA lugubris,0.903905825,0.970002887,35052.70793
FORMICA picea,3.536781141,0.11729433,448324.1902
FORMICA pratensis,-1.067976275,0.137531235,8.523247794
FORMICA rufa,-0.860728345,3.055228605,5115.351227
FORMICA rufibarbis,1.011319862,0.122690228,819631.9569
FORMICA sanguinea,-0.39883925,1.179723965,3483.300647
FORMICOXENUS nitidulus,2.51165603,0.061607081,18189.38184
Hypoponera punctatissima agg,-0.059679018,0.145069699,7.762308412
LASIUS alienus s.l.,-0.120479081,0.18280739,1044.969415
LASIUS alienus s.s.,-1.051243304,0.220754008,2986.359099
LASIUS brunneus,4.458836363,0.210363182,3596.508833
LASIUS emarginatus,0.92579704,0.0910437,5.818228623
LASIUS flavus,0.250566381,5.310141149,420.2739849
LASIUS fuliginosus,0.900251381,0.829662354,608.9567952
LASIUS meridionalis,1.464522004,0.152620866,819.1713448
LASIUS mixtus,-2.304394978,0.314308366,74.87026109
LASIUS neglectus,2.0162554,0.073946856,16.49331058
LASIUS niger s.l.,-3.030690422,0.647797284,386.039279
LASIUS niger s.s.,4.743586792,0.381875013,2139.446024
LASIUS platythorax,6.548114716,0.089970625,3502.206118
LASIUS psammophilus,2.366353356,0.176092957,694.2683741
LASIUS sabularum,0.722967518,0.19643683,30.92473393
LASIUS umbratus,-0.203794556,0.88797143,38.46493828
LEPTOTHORAX acervorum,0.112120457,1.431733393,238.6525235
LINEPITHEMA humile,-0.390121565,0.359241037,9.347104061
MONOMORIUM pharaonis,-0.345415204,1.24376521,17.13352217
MYRMECINA graminicola,-1.885721648,0.40623855,1940.12178
MYRMICA hirsuta,-0.865943925,0.167994074,10.07702697
MYRMICA karavajevi,4.89907173,0.033717342,76.63995833
MYRMICA lobicornis,2.572805756,0.173192297,1887.215505
MYRMICA lonae,0.136272523,0.342324055,9.701402592
MYRMICA rubra,-0.8814294,2.901123919,767.5612733
MYRMICA ruginodis,0.477080372,6.061915518,442.4105631
MYRMICA sabuleti,1.519965455,0.667862577,294.1004323
MYRMICA scabrinodis,1.180286878,1.406973935,257.2559328
MYRMICA schencki,3.004229734,0.078093789,2114.490691
MYRMICA specioides,-0.311902102,0.348199896,6731.285228
MYRMICA sulcinodis,-3.071403217,0.204213609,7651.182485
MYRMICA vandeli,-1.315068257,0.216573169,22.90920513
PARATRECHINA longicornis,-0.895721543,0.087740376,14.29503319
PONERA coarctata,-0.087265546,0.09258037,827.5425163
PONERA testacea,6.848746037,0.022596867,79.28620004
SOLENOPSIS fugax,0.372376419,0.611530525,44.66175134
STENAMMA debile,-0.758573518,0.341909702,1606.236382
STENAMMA westwoodii s.l.,-7.803363855,0.103996143,1490.832798
STENAMMA westwoodii s.s.,-0.720434646,0.40390002,13.05865459
STRONGYLOGNATHUS testaceus,-0.138881622,0.132694074,13.25143129
TAPINOMA erraticum s.l.,2.408519203,0.083926995,42879.13899
TEMNOTHORAX albipennis,0.934831426,0.108993989,11866.36316
TEMNOTHORAX interruptus,-1.116081332,0.142523911,49116.72329
TEMNOTHORAX nylanderi,1.509857944,0.345429875,1114.564931
TEMNOTHORAX unifasciatus,5.260633182,0.018051608,8.712828556
Tetramorium atratulum,-0.134679003,0.124110717,17.19393245
TETRAMORIUM bicarinatum,0.590767676,0.301963351,9.2980001
TETRAMORIUM caespitum,1.237543719,0.576888442,1144.874044
Aepophilus bonnairei,-0.039132351,0.093641434,10.13444542
Aphelocheirus aestivalis,0.660382959,0.379054281,30063.81519
Aquarius najas,-4.20013339,0.165314544,82694.28219
Aquarius paludum,6.812031124,0.056801268,80034.54763
Arctocorisa carinata,2.799748328,0.09942646,282771.163
Arctocorisa germari,-3.566703194,0.339062145,2112.117519
Callicorixa praeusta,-0.220788128,1.87182784,214.0368706
Callicorixa wollastoni,-0.437836807,0.421012261,35124.12896
Ceratocombus coleoptratus,0.296324177,0.486556789,9.229621126
Chartoscirta cincta,0.331272966,0.135417561,2226.915797
Chartoscirta cocksii,-0.083077108,0.101030854,1127.650678
Chartoscirta elegantula,0.058779989,0.333954,15.83837563
Chiloxanthus pilosus,-1.731024338,0.049686919,9.722401808
Corixa affinis,-0.561776596,0.303556978,1700.838448
Corixa dentipes,-1.308450421,0.337388236,1170.899407
Corixa iberica,-0.233989585,0.464027977,321.2465333
Corixa panzeri,-0.145287929,0.601535531,163.4600364
Corixa punctata,-0.645981208,2.789153664,286.3900472
Cryptostemma alienum,-0.16150766,0.113560374,697.7588946
Cryptostemma waltli,-0.021680298,0.135961083,10.43256103
Cymatia bonsdorffii,-0.730201157,0.777057701,977.1363111
Cymatia coleoptrata,-1.094003809,0.775310633,1911.189676
Cymatia rogenhoferi,4.099295802,0.05810704,30.17147942
Gerris argentatus,1.175928116,0.150256662,7928.325354
Gerris costae,0.041254342,0.235959499,28210.37335
Gerris gibbifer,-1.681067478,0.330650749,10251.92182
Gerris lacustris,-0.759416027,1.0379229,214.3948522
Gerris lateralis,1.051352899,0.310092551,988.4551357
Gerris odontogaster,0.115531839,0.677782187,246.0001971
Gerris thoracicus,-0.12626914,0.741335253,318.1331712
Glaenocorisa propinqua subsp. cavifrons,0.143438953,0.118953475,81.74440362
Glaenocorisa propinqua subsp. propinqua,-0.208608512,0.488419163,48.64964316
Glaenocorisa propinqua,-0.176366649,0.879426451,26.54313451
Halosalda lateralis,-2.846039382,0.077753827,28.64499688
Hebrus pusillus,4.970590553,0.050102827,25232.71065
Hebrus ruficeps,2.572946816,0.206942394,9228.28077
Hesperocorixa castanea,0.226557417,0.606463329,6382.376606
Hesperocorixa linnaei,0.490009837,1.730256103,410.2038174
Hesperocorixa moesta,0.960667866,0.506693196,2870.61796
Hesperocorixa sahlbergi,0.205152224,2.013706283,386.5324029
Hydrometra gracilenta,5.636904318,0.03450474,18388.2773
Hydrometra stagnorum,2.398394397,1.074190669,421.0903547
Ilyocoris cimicoides,1.312307622,0.952659713,454.1782734
Limnoporus rufoscutellatus,-0.200479418,0.427731993,8.689499013
Macrosaldula scotica,0.246327313,0.124855405,7.265184525
Micracanthia marginalis,-0.910906582,0.115603619,12.7855801
Micronecta griseola,1.472726914,0.055951367,82.223409
Micronecta minutissima,-3.189220013,0.036295366,190.9470501
Micronecta poweri,2.256763692,0.168038946,1443.34644
Micronecta scholtzi,3.123694513,0.089706005,1962.851867
Microvelia buenoi,3.248069976,0.066647601,11855.82667
Microvelia pygmaea,5.553040131,0.027499456,7776.155905
Microvelia reticulata,2.788687294,0.451116317,313.4556919
Naucoris maculatus,-0.161934201,0.967457149,26.8289559
Nepa cinerea,1.843277587,1.255337419,292.5888784
Notonecta glauca,0.077587888,11.66158451,527.5879506
Notonecta maculata,-2.169186524,0.162060979,1190.310718
Notonecta obliqua,-0.773685705,0.564141885,1948.85423
Notonecta viridis,-1.733706243,0.202809178,362.6607353
Pachycoleus waltli,0.193422227,0.504101643,12.62093362
Paracorixa concinna,1.421949915,0.284584599,469.9013739
Plea minutissima,3.619527849,0.386239044,394.4132905
Ranatra linearis,3.222383211,0.388096953,240.2688356
Salda littoralis,-2.205942146,0.093570522,20956.12107
Salda morio,-0.058483315,0.222939017,34.80159407
Salda muelleri,-1.440685948,0.20437457,430.8364148
Saldula arenicola,-0.162949616,0.046388944,7.495401074
Saldula c-album,-2.536580282,0.096147249,159.560545
Saldula fucicola,-0.801599271,0.058510137,10.8955322
Saldula opacula,-1.359327559,0.060487523,158.226307
Saldula orthochila,-1.411841301,0.188682565,37.65500394
Saldula pallipes,-1.730449073,0.050819678,59.1643688
Saldula palustris,-1.01499395,0.105153738,5558.911613
Saldula pilosella,6.568727315,0.024577759,7.196992696
Saldula saltatoria,-3.12300014,0.090466509,5271.94399
Saldula scotica,-1.216323563,0.045680267,1017.326337
Sigara distincta,-1.122119778,1.255905134,357.6921434
Sigara dorsalis,-0.488743259,4.417855667,806.1683956
Sigara falleni,-2.628068896,1.024919677,484.4292056
Sigara fossarum,-0.718532,1.659057775,479.663178
Sigara iactans,9.863736189,0.025411878,41146.61842
Sigara lateralis,0.446192443,1.445757609,713.4907795
Sigara limitata,1.503929034,0.339598753,1759.412725
Sigara nigrolineata,-0.843631462,0.989777564,299.2583283
Sigara scotti,-0.042643909,0.595929119,2313.786778
Sigara selecta,2.86375986,0.051055826,6.50961167
Sigara semistriata,1.788506045,0.384012569,3402.25933
Sigara stagnalis,-0.087670421,0.371489178,2690.954855
Sigara striata,-1.71775444,0.118131397,45034.75631
Sigara venusta,-0.904316536,0.340673917,10291.81495
Velia caprai,1.131351728,0.491461646,1151.64435
Velia saulii,-1.379774606,0.150552502,12648.44388
ANDRENA alfkenella,-0.867573425,0.208030521,1053.004938
ANDRENA angustior,-0.94201308,0.607138816,1265.291729
ANDRENA apicata,1.419128565,0.385757905,10967.55417
ANDRENA argentata,1.842059551,0.353135015,11090.9388
ANDRENA barbilabris,0.436654461,1.373135674,1740.572052
ANDRENA bicolor,1.131720047,1.420903911,408.3238452
ANDRENA bimaculata,0.967054645,0.955085335,3110.960723
ANDRENA bucephala,1.183806862,0.308073174,3359.839086
ANDRENA chrysosceles,1.168640497,1.274662196,669.9357592
ANDRENA cineraria,4.62530936,0.7745325,3992.581521
ANDRENA clarkella,-0.503877205,1.130734378,1014.044706
ANDRENA coitana,-5.528993431,0.501276856,18946.83513
ANDRENA congruens,-2.030238256,0.3846872,9583.932124
ANDRENA denticulata,0.290366063,0.736290378,510.8072985
ANDRENA dorsata,4.642509294,0.68230427,1037.854491
ANDRENA falsifica,-1.312329425,0.307255431,59498.38651
ANDRENA ferox,1.743137426,0.146119817,582249.9611
ANDRENA flavipes,2.872939539,1.101353217,1006.589437
ANDRENA florea,-2.351764037,0.214765326,5853.734279
ANDRENA fucata,-0.842063115,0.566186895,418.0984783
ANDRENA fulva,0.07119712,4.094155437,952.3427176
ANDRENA fulvago,2.268142576,0.290093238,12452.12269
ANDRENA fuscipes,-0.242646242,2.154432347,2401.592777
ANDRENA gravida,0.037758105,0.488920096,16.7264722
ANDRENA haemorrhoa,1.505460719,1.52185801,384.7911635
ANDRENA hattorfiana,1.241116199,0.604485991,81385.64353
ANDRENA helvola,-0.028481325,0.536231068,524.4906588
ANDRENA humilis,0.781135444,0.606995409,3266.340571
ANDRENA labialis,1.504353318,0.338882927,1461.631338
ANDRENA labiata,4.619342842,0.275262161,1979.954199
ANDRENA lapponica,-1.129993769,0.573744197,3555.70373
ANDRENA lathyri,8.237031024,0.052045968,1394.94473
ANDRENA marginata,-1.191087284,0.968372177,77472.70867
ANDRENA minutula,1.060989579,1.268711861,504.5880958
ANDRENA minutuloides,1.593982138,0.288575578,4453.493727
ANDRENA nigriceps,-1.492357292,0.520406254,11056.60682
ANDRENA nigroaenea,2.326342665,0.902216223,412.2592165
ANDRENA nigrospina,2.974990818,0.129121464,496976.6228
ANDRENA nitida,4.502940595,0.370178582,525.2106382
ANDRENA nitidiuscula,-0.083986908,0.462994717,39235.75196
ANDRENA niveata,-1.6413511,0.084883457,42331.05617
ANDRENA ovatula,-0.045263309,1.04449622,959.5876387
ANDRENA pilipes s.l.,-2.903810175,0.157514748,17656.71801
ANDRENA pilipes s.s.,0.993037261,0.347920735,14699.17333
ANDRENA praecox,2.169436421,0.584434636,1260.77272
ANDRENA proxima,-1.592217366,0.171971656,12388.00527
ANDRENA rosae,-0.755601238,0.25793376,50.45566234
ANDRENA ruficrus,1.137219256,0.19835286,17314.81803
Andrena scotica,-0.226230957,1.382957328,268.4663589
ANDRENA semilaevis,-1.24463209,1.244172366,578.0127714
ANDRENA similis,-2.525527118,0.207240256,4907.733237
ANDRENA simillima,1.616487969,0.089853594,956.9626706
ANDRENA subopaca,-0.618279915,1.132386032,454.1096283
ANDRENA synadelpha,-0.23040284,0.479344823,615.2245728
ANDRENA tarsata,-1.623256002,1.050857754,9975.269925
ANDRENA thoracica,-0.983906991,1.799727066,7173.138081
ANDRENA tibialis,0.527559523,0.384619428,1777.751025
ANDRENA trimmerana,0.388766298,0.329718626,835.2005399
ANDRENA vaga,0.95920871,0.045691155,28.40492026
ANDRENA varians,-1.610180275,0.411202011,5424.564336
ANDRENA wilkella,-1.173072056,0.810378709,425.8850242
ANTHIDIUM manicatum,1.404879293,0.65237114,1753.233489
ANTHOPHORA bimaculata,1.085655625,1.055862284,3879.381769
ANTHOPHORA furcata,-0.648295674,1.640134313,1070.19106
ANTHOPHORA plumipes,3.905402318,0.409531819,1908.442673
ANTHOPHORA quadrimaculata,-3.193844457,0.475970022,19734.31235
ANTHOPHORA retusa,0.589326441,0.122814876,316130.0545
APIS mellifera,5.684205946,0.370991114,4564.919739
BOMBUS barbutellus,-2.304935244,1.39768318,974.3731673
BOMBUS bohemicus,-1.217869411,2.841262361,2534.168263
BOMBUS campestris,-3.414886109,0.795351432,325.7890568
BOMBUS cryptarum,6.182275846,0.054753211,579.9211622
BOMBUS distinguendus,0.068456524,1.211990643,37391.80493
BOMBUS hortorum,-0.69149848,4.262650328,586.2459918
BOMBUS humilis,-2.195703699,0.801176415,5304.989929
BOMBUS hypnorum,4.739232324,0.158377192,653.9145672
BOMBUS jonellus,0.563965082,0.95259422,1394.879411
BOMBUS lapidarius,0.481782877,6.549086854,905.123236
Bombus lucorum s.l.,-0.404571208,5.0753845,700.5844986
Bombus lucorum s.s.,0.223971016,0.297905586,11.59476505
BOMBUS magnus,-1.83921371,0.214589706,8603.86263
BOMBUS monticola,-1.151819779,2.096143555,19972.78271
BOMBUS muscorum,-1.243948718,3.206368285,5082.073123
BOMBUS pascuorum,0.630643367,6.576821077,1021.353141
BOMBUS pratorum,-0.422857856,2.931710567,505.6547795
BOMBUS ruderarius,-4.47171811,1.070637811,1636.256206
BOMBUS ruderatus,-0.182527575,0.409080784,64427.41154
BOMBUS rupestris,0.176516549,0.508341214,1787.602938
BOMBUS soroeensis,0.559082268,0.328936775,24515.91463
BOMBUS subterraneus,-1.181252694,0.038107467,199.0043782
BOMBUS sylvarum,-2.872473683,0.5148251,35626.87978
BOMBUS sylvestris,-0.31495789,2.039336891,323.5268879
BOMBUS terrestris,0.234332069,1.120915131,696.8577935
BOMBUS vestalis,0.399292068,3.758936187,430.3622566
CERATINA cyanea,-0.607731263,0.253616248,5090.716689
CHELOSTOMA campanularum,-0.861196781,1.457703982,776.0706782
CHELOSTOMA florisomne,2.091308091,0.492329745,1744.873618
COELIOXYS conoidea,2.204178832,0.419820982,5352.635577
COELIOXYS elongata,-0.440926314,0.933300343,2131.117632
COELIOXYS inermis,-0.992948715,0.93836281,509.3944185
COELIOXYS mandibularis,-1.375246232,0.329064199,43789.23575
COELIOXYS quadridentata,-4.48281674,0.062589253,29.85456209
COELIOXYS rufescens,-2.478196815,0.387364998,715.4693327
COLLETES cunicularius,0.909974983,0.353765069,140505.3459
COLLETES daviesanus,-0.936703047,2.226786856,781.7398253
COLLETES floralis,2.150964676,0.127884543,106841.6074
COLLETES fodiens,0.180305952,0.982913968,1842.317622
COLLETES halophilus,-3.005422273,0.422835053,70143.09127
COLLETES hederae,16.60597823,0.022981518,3439.678242
COLLETES marginatus,-0.813537388,0.716816071,16121.41927
COLLETES similis,-2.545566072,0.598469212,966.3176939
COLLETES succinctus,0.793121914,1.423305015,1567.703122
DASYPODA hirtipes,1.112631061,0.768478235,2809.399984
DUFOUREA minuta,0.032500899,0.428629379,15.88490498
